pay_period,amount,currency,payout_type,processed_at
2022-05-23 10:00:00 UTC,3,USD,instant,2022-05-28 23:48:32 UTC
2022-05-23 10:00:00 UTC,3,USD,instant,2022-05-28 05:52:57 UTC
2022-05-23 10:00:00 UTC,3,USD,instant,2022-05-28 22:38:55 UTC
2022-05-23 10:00:00 UTC,10,USD,instant,2022-05-28 04:58:41 UTC
2022-05-23 10:00:00 UTC,4,USD,instant,2022-05-28 23:12:51 UTC
2022-05-23 10:00:00 UTC,18,USD,instant,2022-05-28 05:01:34 UTC
2022-02-28 11:00:00 UTC,180,USD,express,2022-03-05 07:13:38 UTC
2022-02-28 11:00:00 UTC,108,USD,express,2022-03-05 10:33:46 UTC
2022-01-31 11:00:00 UTC,157,USD,express,2022-02-04 02:07:58 UTC
2021-11-15 11:00:00 UTC,160,USD,express,2021-11-19 07:35:27 UTC
2022-02-07 11:00:00 UTC,72,USD,express,2022-02-13 02:55:05 UTC
2022-02-07 11:00:00 UTC,96,USD,express,2022-02-13 07:05:53 UTC
2021-10-18 10:00:00 UTC,209,USD,express,2021-10-20 03:40:32 UTC
2022-02-21 11:00:00 UTC,194,USD,express,2022-02-28 07:07:31 UTC
2021-12-27 11:00:00 UTC,173,USD,express,2022-01-02 06:34:27 UTC
2022-03-21 10:00:00 UTC,244,USD,express,2022-03-26 08:56:06 UTC
2021-07-05 10:00:00 UTC,203,USD,weekly,2021-07-13 13:29:09 UTC
2021-10-11 10:00:00 UTC,114,USD,express,2021-10-16 01:14:32 UTC
